"차종","엔진","트림","외장칼라","내장칼라","생산번호","출고센터","생산일","옵션","판매가격(만원)","기본조건","생산월조건","판촉차조건","페스타조건","슈퍼세이브조건","조건 계"
"GV70","가솔린","","카프리 블루","어반브라운/프로즌그레이","0R  226546","울산출고","2025-02-14 00:00:00","드라이빙 어시스턴스 패키지2,뱅앤올룹슨 사운드 패키지,파퓰러 패키지1,빌트인 캠 패키지","6775","","","","","400","400"
"GV70","가솔린","","마칼루 그레이","하바나 브라운","0R  226776","아산출고","2025-02-15 00:00:00","빌트인 캠 패키지,드라이빙 어시스턴스 패키지2,파퓰러 패키지1","6825","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226582","아산출고","2025-02-15 00:00:00","파퓰러 패키지1,드라이빙 어시스턴스 패키지2,빌트인 캠 패키지","6605","","","","","400","400"
"GV70","가솔린","","우유니 화이트","블랙원톤","0R  226653","영남출고","2025-02-15 00:00:00","파퓰러 패키지1,빌트인 캠 패키지,뱅앤올룹슨 사운드 패키지","6595","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226876","영남출고","2025-02-17 00:00:00","파퓰러 패키지1,빌트인 캠 패키지,뱅앤올룹슨 사운드 패키지","6925","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226840","아산출고","2025-02-17 00:00:00","파퓰러 패키지1,빌트인 캠 패키지,뱅앤올룹슨 사운드 패키지","6705","","","","","400","400"
"GV70","가솔린","","세빌 실버","옵시디언블랙/울트라마린블루투톤","0R  226839","칠곡출고","2025-02-17 00:00:00","뱅앤올룹슨 사운드 패키지,파노라마 선루프,파퓰러 패키지1,빌트인 캠 패키지","7310","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226879","아산출고","2025-02-17 00:00:00","파퓰러 패키지1,빌트인 캠 패키지,뱅앤올룹슨 사운드 패키지","6925","","","","","400","400"
"GV70","가솔린","","카프리 블루","하바나 브라운","0R  226865","신갈출고","2025-02-18 00:00:00","파노라마 선루프","5690","","","","","400","400"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  226949","시흥출고","2025-02-19 00:00:00","빌트인 캠 패키지,드라이빙 어시스턴스 패키지2,파퓰러 패키지1","6305","","","","","400","400"
